GAME_DATE,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
2024-12-13,Memphis Grizzlies,MEM vs. BKN,W,135,16.0
2024-12-13,Minnesota Timberwolves,MIN vs. LAL,W,97,10.0
2024-12-13,San Antonio Spurs,SAS @ POR,W,118,2.0
2024-12-13,Los Angeles Lakers,LAL @ MIN,L,87,-10.0
2024-12-13,Cleveland Cavaliers,CLE vs. WAS,W,115,10.0
2024-12-13,Indiana Pacers,IND @ PHI,W,121,14.0
2024-12-13,Portland Trail Blazers,POR vs. SAS,L,116,-2.0
2024-12-12,Boston Celtics,BOS vs. DET,W,123,24.0
2024-12-12,Toronto Raptors,TOR @ MIA,L,104,-10.0
2024-12-12,Detroit Pistons,DET @ BOS,L,99,-24.0
2024-12-12,Miami Heat,MIA vs. TOR,W,114,10.0
2024-12-12,New Orleans Pelicans,NOP vs. SAC,L,109,-2.0
2024-12-12,Sacramento Kings,SAC @ NOP,W,111,2.0
2024-12-11,Houston Rockets,HOU vs. GSW,W,91,1.0
2024-12-11,Golden State Warriors,GSW @ HOU,L,90,-1.0
2024-12-11,New York Knicks,NYK vs. ATL,L,100,-8.0
2024-12-11,Atlanta Hawks,ATL @ NYK,W,108,8.0
2024-12-10,Milwaukee Bucks,MIL vs. ORL,W,114,5.0
2024-12-10,Oklahoma City Thunder,OKC vs. DAL,W,118,14.0
2024-12-10,Dallas Mavericks,DAL @ OKC,L,104,-14.0
2024-12-10,Orlando Magic,ORL @ MIL,L,109,-5.0
2024-12-09,New York Knicks,NYK @ TOR,W,113,5.0
2024-12-09,Toronto Raptors,TOR vs. NYK,L,108,-5.0
2024-12-08,Brooklyn Nets,BKN vs. MIL,L,113,-5.0
2024-12-08,Milwaukee Bucks,MIL @ BKN,W,118,5.0
2024-12-08,Washington Wizards,WAS vs. MEM,L,112,-28.0
2024-12-08,LA Clippers,LAC vs. HOU,L,106,-11.0
2024-12-08,Golden State Warriors,GSW vs. MIN,W,114,8.0
2024-12-08,Phoenix Suns,PHX @ ORL,L,110,-5.0
2024-12-08,Portland Trail Blazers,POR @ LAL,L,98,-9.0
2024-12-08,New Orleans Pelicans,NOP @ SAS,L,116,-5.0
2024-12-08,Sacramento Kings,SAC vs. UTA,W,141,44.0
2024-12-08,Cleveland Cavaliers,CLE @ MIA,L,113,-9.0
2024-12-08,Orlando Magic,ORL vs. PHX,W,115,5.0
2024-12-08,San Antonio Spurs,SAS vs. NOP,W,121,5.0
2024-12-08,Philadelphia 76ers,PHI @ CHI,W,108,8.0
2024-12-08,Los Angeles Lakers,LAL vs. POR,W,107,9.0
2024-12-08,Memphis Grizzlies,MEM @ WAS,W,140,28.0
2024-12-08,Utah Jazz,UTA @ SAC,L,97,-44.0
2024-12-08,Miami Heat,MIA vs. CLE,W,122,9.0
2024-12-08,Charlotte Hornets,CHA @ IND,W,113,4.0
2024-12-08,Houston Rockets,HOU @ LAC,W,117,11.0
2024-12-08,Indiana Pacers,IND vs. CHA,L,109,-4.0
2024-12-08,Minnesota Timberwolves,MIN @ GSW,L,106,-8.0
2024-12-08,Chicago Bulls,CHI vs. PHI,L,100,-8.0
2024-12-08,Denver Nuggets,DEN @ ATL,W,141,30.0
2024-12-08,Atlanta Hawks,ATL vs. DEN,L,111,-30.0
2024-12-07,Washington Wizards,WAS vs. DEN,W,122,9.0
2024-12-07,Boston Celtics,BOS vs. MEM,L,121,-6.0
2024-12-07,Denver Nuggets,DEN @ WAS,L,113,-9.0
2024-12-07,New Orleans Pelicans,NOP vs. OKC,L,109,-10.0
2024-12-07,Miami Heat,MIA vs. PHX,W,121,10.0
2024-12-07,Dallas Mavericks,DAL @ TOR,W,125,7.0
2024-12-07,Memphis Grizzlies,MEM @ BOS,W,127,6.0
2024-12-07,Toronto Raptors,TOR vs. DAL,L,118,-7.0
2024-12-07,Phoenix Suns,PHX @ MIA,L,111,-10.0
2024-12-07,Cleveland Cavaliers,CLE @ CHA,W,116,14.0
2024-12-07,Oklahoma City Thunder,OKC @ NOP,W,119,10.0
2024-12-07,Charlotte Hornets,CHA vs. CLE,L,102,-14.0
2024-12-07,Detroit Pistons,DET @ NYK,W,120,9.0
2024-12-07,New York Knicks,NYK vs. DET,L,111,-9.0
2024-12-06,Chicago Bulls,CHI vs. IND,L,123,-9.0
2024-12-06,Sacramento Kings,SAC @ SAS,W,140,27.0
2024-12-06,Atlanta Hawks,ATL vs. LAL,W,134,2.0
2024-12-06,San Antonio Spurs,SAS vs. SAC,L,113,-27.0
2024-12-06,Philadelphia 76ers,PHI vs. ORL,W,102,8.0
2024-12-06,Orlando Magic,ORL @ PHI,L,94,-8.0
2024-12-06,Minnesota Timberwolves,MIN @ GSW,W,107,17.0
2024-12-06,Golden State Warriors,GSW vs. MIN,L,90,-17.0
2024-12-06,Milwaukee Bucks,MIL @ BOS,L,105,-6.0
2024-12-06,Indiana Pacers,IND @ CHI,W,132,9.0
2024-12-06,Portland Trail Blazers,POR vs. UTA,L,99,-42.0
2024-12-06,Boston Celtics,BOS vs. MIL,W,111,6.0
2024-12-06,Utah Jazz,UTA @ POR,W,141,42.0
2024-12-06,Los Angeles Lakers,LAL @ ATL,L,132,-2.0
2024-12-05,Phoenix Suns,PHX @ NOP,L,124,-2.0
2024-12-05,Washington Wizards,WAS vs. DAL,L,101,-36.0
2024-12-05,Denver Nuggets,DEN @ CLE,L,114,-12.0
2024-12-05,Toronto Raptors,TOR vs. OKC,L,92,-37.0
2024-12-05,Golden State Warriors,GSW vs. HOU,W,99,6.0
2024-12-05,Sacramento Kings,SAC @ MEM,L,110,-5.0
2024-12-05,Houston Rockets,HOU @ GSW,L,93,-6.0
2024-12-05,New Orleans Pelicans,NOP vs. PHX,W,126,2.0
2024-12-05,Cleveland Cavaliers,CLE vs. DEN,W,126,12.0
2024-12-05,Charlotte Hornets,CHA @ NYK,L,101,-24.0
2024-12-05,Chicago Bulls,CHI @ SAS,W,139,15.0
2024-12-05,Memphis Grizzlies,MEM vs. SAC,W,115,5.0
2024-12-05,Oklahoma City Thunder,OKC @ TOR,W,129,37.0
2024-12-05,New York Knicks,NYK vs. CHA,W,125,24.0
2024-12-05,Dallas Mavericks,DAL @ WAS,W,137,36.0
2024-12-05,San Antonio Spurs,SAS vs. CHI,L,124,-15.0
2024-12-04,Los Angeles Lakers,LAL @ MIA,L,93,-41.0
2024-12-04,LA Clippers,LAC vs. MIN,L,80,-28.0
2024-12-04,Minnesota Timberwolves,MIN @ LAC,W,108,28.0
2024-12-04,Orlando Magic,ORL @ PHI,W,106,4.0
2024-12-04,Boston Celtics,BOS vs. DET,W,130,10.0
2024-12-04,Miami Heat,MIA vs. LAL,W,134,41.0
2024-12-04,Philadelphia 76ers,PHI vs. ORL,L,102,-4.0
2024-12-04,Milwaukee Bucks,MIL vs. ATL,L,104,-15.0
2024-12-04,Brooklyn Nets,BKN vs. IND,W,99,9.0
2024-12-04,Detroit Pistons,DET @ BOS,L,120,-10.0
2024-12-04,Indiana Pacers,IND @ BKN,L,90,-9.0
2024-12-04,Atlanta Hawks,ATL @ MIL,W,119,15.0
2024-12-03,Portland Trail Blazers,POR @ LAC,L,105,-22.0
2024-12-03,Milwaukee Bucks,MIL @ DET,W,128,21.0
2024-12-03,Toronto Raptors,TOR vs. IND,W,122,11.0
2024-12-03,Houston Rockets,HOU @ SAC,L,111,-9.0
2024-12-03,Detroit Pistons,DET vs. MIL,L,107,-21.0
2024-12-03,Oklahoma City Thunder,OKC vs. UTA,W,133,27.0
2024-12-03,Golden State Warriors,GSW @ DEN,L,115,-4.0
2024-12-03,San Antonio Spurs,SAS @ PHX,L,93,-11.0
2024-12-03,Indiana Pacers,IND @ TOR,L,111,-11.0
2024-12-03,Sacramento Kings,SAC vs. HOU,W,120,9.0
2024-12-03,Cleveland Cavaliers,CLE vs. WAS,W,118,31.0
2024-12-03,Utah Jazz,UTA @ OKC,L,106,-27.0
2024-12-03,Denver Nuggets,DEN vs. GSW,W,119,4.0
2024-12-03,LA Clippers,LAC vs. POR,W,127,22.0
2024-12-03,Washington Wizards,WAS @ CLE,L,87,-31.0
2024-12-03,Phoenix Suns,PHX vs. SAS,W,104,11.0
2024-12-03,Charlotte Hornets,CHA vs. PHI,L,104,-6.0
2024-12-03,Memphis Grizzlies,MEM @ DAL,L,116,-5.0
2024-12-03,Orlando Magic,ORL @ NYK,L,106,-15.0
2024-12-03,Philadelphia 76ers,PHI @ CHA,W,110,6.0
2024-12-03,Dallas Mavericks,DAL vs. MEM,W,121,5.0
2024-12-03,New York Knicks,NYK vs. ORL,W,121,15.0
2024-12-02,Brooklyn Nets,BKN @ CHI,L,102,-26.0
2024-12-02,Atlanta Hawks,ATL vs. NOP,W,124,12.0
2024-12-02,Minnesota Timberwolves,MIN vs. LAL,W,109,29.0
2024-12-02,New Orleans Pelicans,NOP @ ATL,L,112,-12.0
2024-12-02,Miami Heat,MIA @ BOS,L,89,-19.0
2024-12-02,Chicago Bulls,CHI vs. BKN,W,128,26.0
2024-12-02,Boston Celtics,BOS vs. MIA,W,108,19.0
2024-12-02,Los Angeles Lakers,LAL @ MIN,L,80,-29.0
2024-12-01,New Orleans Pelicans,NOP @ NYK,L,85,-33.0
2024-12-01,Boston Celtics,BOS @ CLE,L,111,-4.0
2024-12-01,Oklahoma City Thunder,OKC @ HOU,L,116,-3.0
2024-12-01,LA Clippers,LAC vs. DEN,W,126,4.0
2024-12-01,Miami Heat,MIA @ TOR,L,116,-3.0
2024-12-01,Indiana Pacers,IND @ MEM,L,121,-15.0
2024-12-01,San Antonio Spurs,SAS @ SAC,W,127,2.0
2024-12-01,Denver Nuggets,DEN @ LAC,L,122,-4.0
2024-12-01,Houston Rockets,HOU vs. OKC,W,119,3.0
2024-12-01,Brooklyn Nets,BKN vs. ORL,L,92,-8.0
2024-12-01,Cleveland Cavaliers,CLE vs. BOS,W,115,4.0
2024-12-01,Dallas Mavericks,DAL @ POR,W,137,6.0
2024-12-01,Sacramento Kings,SAC vs. SAS,L,125,-2.0
2024-12-01,Utah Jazz,UTA vs. LAL,L,104,-1.0
2024-12-01,Orlando Magic,ORL @ BKN,W,100,8.0
2024-12-01,Toronto Raptors,TOR vs. MIA,W,119,3.0
2024-12-01,Memphis Grizzlies,MEM vs. IND,W,136,15.0
2024-12-01,New York Knicks,NYK vs. NOP,W,118,33.0
2024-12-01,Los Angeles Lakers,LAL @ UTA,W,105,1.0
2024-12-01,Portland Trail Blazers,POR vs. DAL,L,131,-6.0
2024-11-30,Washington Wizards,WAS @ MIL,L,114,-10.0
2024-11-30,Dallas Mavericks,DAL @ UTA,W,106,12.0
2024-11-30,Utah Jazz,UTA vs. DAL,L,94,-12.0
2024-11-30,Milwaukee Bucks,MIL vs. WAS,W,124,10.0
2024-11-30,Golden State Warriors,GSW @ PHX,L,105,-8.0
2024-11-30,Philadelphia 76ers,PHI @ DET,W,111,15.0
2024-11-30,Detroit Pistons,DET vs. PHI,L,96,-15.0
2024-11-30,Atlanta Hawks,ATL @ CHA,W,107,3.0
2024-11-30,Charlotte Hornets,CHA vs. ATL,L,104,-3.0
2024-11-30,Phoenix Suns,PHX vs. GSW,W,113,8.0
2024-11-29,Sacramento Kings,SAC @ POR,L,106,-9.0
2024-11-29,Toronto Raptors,TOR @ MIA,L,111,-10.0
2024-11-29,Atlanta Hawks,ATL vs. CLE,W,117,16.0
2024-11-29,Brooklyn Nets,BKN vs. ORL,L,100,-23.0
2024-11-29,Minnesota Timberwolves,MIN vs. LAC,W,93,1.0
2024-11-29,New York Knicks,NYK @ CHA,W,99,1.0
2024-11-29,Miami Heat,MIA vs. TOR,W,121,10.0
2024-11-29,Portland Trail Blazers,POR vs. SAC,W,115,9.0
2024-11-29,Oklahoma City Thunder,OKC @ LAL,W,101,8.0
2024-11-29,LA Clippers,LAC @ MIN,L,92,-1.0
2024-11-29,Charlotte Hornets,CHA vs. NYK,L,98,-1.0
2024-11-29,Orlando Magic,ORL @ BKN,W,123,23.0
2024-11-29,Memphis Grizzlies,MEM vs. NOP,W,120,11.0
2024-11-29,New Orleans Pelicans,NOP @ MEM,L,109,-11.0
2024-11-29,Detroit Pistons,DET @ IND,W,130,24.0
2024-11-29,Chicago Bulls,CHI vs. BOS,L,129,-9.0
2024-11-29,Indiana Pacers,IND vs. DET,L,106,-24.0
2024-11-29,Los Angeles Lakers,LAL vs. OKC,L,93,-8.0
2024-11-29,Cleveland Cavaliers,CLE @ ATL,L,101,-16.0
2024-11-29,Boston Celtics,BOS @ CHI,W,138,9.0
2024-11-27,Miami Heat,MIA @ CHA,W,98,4.0
2024-11-27,New Orleans Pelicans,NOP vs. TOR,L,93,-26.0
2024-11-27,Brooklyn Nets,BKN @ PHX,W,127,10.0
2024-11-27,Cleveland Cavaliers,CLE vs. ATL,L,124,-11.0
2024-11-27,Chicago Bulls,CHI @ ORL,L,119,-14.0
2024-11-27,Dallas Mavericks,DAL vs. NYK,W,129,15.0
2024-11-27,San Antonio Spurs,SAS vs. LAL,L,101,-18.0
2024-11-27,Houston Rockets,HOU @ PHI,W,122,7.0
2024-11-27,Atlanta Hawks,ATL @ CLE,W,135,11.0
2024-11-27,Orlando Magic,ORL vs. CHI,W,133,14.0
2024-11-27,Golden State Warriors,GSW vs. OKC,L,101,-4.0
2024-11-27,Los Angeles Lakers,LAL @ SAS,W,119,18.0
2024-11-27,Sacramento Kings,SAC @ MIN,W,115,11.0
2024-11-27,Utah Jazz,UTA vs. DEN,L,103,-19.0
2024-11-27,LA Clippers,LAC @ WAS,W,121,25.0
2024-11-27,Portland Trail Blazers,POR @ IND,L,114,-7.0
2024-11-27,Detroit Pistons,DET @ MEM,L,111,-20.0
2024-11-27,Indiana Pacers,IND vs. POR,W,121,7.0
2024-11-27,Memphis Grizzlies,MEM vs. DET,W,131,20.0
2024-11-27,Toronto Raptors,TOR @ NOP,W,119,26.0
2024-11-27,Philadelphia 76ers,PHI vs. HOU,L,115,-7.0
2024-11-27,Charlotte Hornets,CHA vs. MIA,L,94,-4.0
2024-11-27,Oklahoma City Thunder,OKC @ GSW,W,105,4.0
2024-11-27,Minnesota Timberwolves,MIN vs. SAC,L,104,-11.0
2024-11-27,Phoenix Suns,PHX vs. BKN,L,117,-10.0
2024-11-27,Washington Wizards,WAS vs. LAC,L,96,-25.0
2024-11-27,New York Knicks,NYK @ DAL,L,114,-15.0
2024-11-27,Denver Nuggets,DEN @ UTA,W,122,19.0
2024-11-26,Milwaukee Bucks,MIL @ MIA,W,106,3.0
2024-11-26,Phoenix Suns,PHX vs. LAL,W,127,27.0
2024-11-26,Los Angeles Lakers,LAL @ PHX,L,100,-27.0
2024-11-26,Washington Wizards,WAS vs. CHI,L,108,-19.0
2024-11-26,Utah Jazz,UTA vs. SAS,L,115,-13.0
2024-11-26,San Antonio Spurs,SAS @ UTA,W,128,13.0
2024-11-26,Minnesota Timberwolves,MIN vs. HOU,L,111,-6.0
2024-11-26,Chicago Bulls,CHI @ WAS,W,127,19.0
2024-11-26,Houston Rockets,HOU @ MIN,W,117,6.0
2024-11-26,Miami Heat,MIA vs. MIL,L,103,-3.0
2024-11-25,Detroit Pistons,DET vs. TOR,W,102,2.0
2024-11-25,New Orleans Pelicans,NOP @ IND,L,110,-4.0
2024-11-25,Denver Nuggets,DEN vs. NYK,L,118,-27.0
2024-11-25,Dallas Mavericks,DAL @ ATL,W,129,10.0
2024-11-25,LA Clippers,LAC @ BOS,L,94,-32.0
2024-11-25,Charlotte Hornets,CHA vs. ORL,L,84,-11.0
2024-11-25,Atlanta Hawks,ATL vs. DAL,L,119,-10.0
2024-11-25,Toronto Raptors,TOR @ DET,L,100,-2.0
2024-11-25,Brooklyn Nets,BKN @ GSW,W,128,8.0
2024-11-25,Indiana Pacers,IND vs. NOP,W,114,4.0
2024-11-25,Boston Celtics,BOS vs. LAC,W,126,32.0
2024-11-25,Memphis Grizzlies,MEM vs. POR,W,123,25.0
2024-11-25,Golden State Warriors,GSW vs. BKN,L,120,-8.0
2024-11-25,Orlando Magic,ORL @ CHA,W,95,11.0
2024-11-25,Portland Trail Blazers,POR @ MEM,L,98,-25.0
2024-11-25,New York Knicks,NYK @ DEN,W,145,27.0
2024-11-25,Oklahoma City Thunder,OKC @ SAC,W,130,21.0
2024-11-25,Sacramento Kings,SAC vs. OKC,L,109,-21.0
2024-11-24,Toronto Raptors,TOR @ CLE,L,108,-14.0
2024-11-24,Washington Wizards,WAS @ IND,L,103,-12.0
2024-11-24,Brooklyn Nets,BKN @ SAC,W,108,5.0
2024-11-24,Boston Celtics,BOS vs. MIN,W,107,2.0
2024-11-24,Cleveland Cavaliers,CLE vs. TOR,W,122,14.0
2024-11-24,Minnesota Timberwolves,MIN @ BOS,L,105,-2.0
2024-11-24,Indiana Pacers,IND vs. WAS,W,115,12.0
2024-11-24,Dallas Mavericks,DAL @ MIA,L,118,-5.0
2024-11-24,Sacramento Kings,SAC vs. BKN,L,103,-5.0
2024-11-24,LA Clippers,LAC @ PHI,W,125,26.0
2024-11-24,Miami Heat,MIA vs. DAL,W,123,5.0
2024-11-24,Philadelphia 76ers,PHI vs. LAC,L,99,-26.0
2024-11-23,Houston Rockets,HOU vs. POR,L,98,-6.0
2024-11-23,Denver Nuggets,DEN @ LAL,W,127,25.0
2024-11-23,Charlotte Hornets,CHA @ MIL,L,119,-6.0
2024-11-23,Los Angeles Lakers,LAL vs. DEN,L,102,-25.0
2024-11-23,Detroit Pistons,DET @ ORL,L,100,-11.0
2024-11-23,Golden State Warriors,GSW @ SAS,L,94,-10.0
2024-11-23,New York Knicks,NYK @ UTA,L,106,-15.0
2024-11-23,Milwaukee Bucks,MIL vs. CHA,W,125,6.0
2024-11-23,Orlando Magic,ORL vs. DET,W,111,11.0
2024-11-23,Chicago Bulls,CHI vs. MEM,L,131,-11.0
2024-11-23,Memphis Grizzlies,MEM @ CHI,W,142,11.0
2024-11-23,San Antonio Spurs,SAS vs. GSW,W,104,10.0
2024-11-23,Utah Jazz,UTA vs. NYK,W,121,15.0
2024-11-23,Portland Trail Blazers,POR @ HOU,W,104,6.0
2024-11-22,Philadelphia 76ers,PHI vs. BKN,W,113,15.0
2024-11-22,Golden State Warriors,GSW @ NOP,W,112,4.0
2024-11-22,Denver Nuggets,DEN vs. DAL,L,120,-3.0
2024-11-22,Indiana Pacers,IND @ MIL,L,117,-12.0
2024-11-22,New Orleans Pelicans,NOP vs. GSW,L,108,-4.0
2024-11-22,LA Clippers,LAC vs. SAC,W,104,16.0
2024-11-22,Milwaukee Bucks,MIL vs. IND,W,129,12.0
2024-11-22,Dallas Mavericks,DAL @ DEN,W,123,3.0
2024-11-22,Chicago Bulls,CHI vs. ATL,W,136,14.0
2024-11-22,Houston Rockets,HOU vs. POR,W,116,28.0
2024-11-22,Sacramento Kings,SAC @ LAC,L,88,-16.0
2024-11-22,Boston Celtics,BOS @ WAS,W,108,12.0
2024-11-22,Atlanta Hawks,ATL @ CHI,L,122,-14.0
2024-11-22,Washington Wizards,WAS vs. BOS,L,96,-12.0
2024-11-22,Brooklyn Nets,BKN @ PHI,L,98,-15.0
2024-11-22,Portland Trail Blazers,POR @ HOU,L,88,-28.0
2024-11-21,Orlando Magic,ORL @ LAL,W,119,1.0
2024-11-21,Los Angeles Lakers,LAL vs. ORL,L,118,-1.0
2024-11-21,Detroit Pistons,DET @ CHA,L,121,-2.0
2024-11-21,Minnesota Timberwolves,MIN @ TOR,L,105,-5.0
2024-11-21,Toronto Raptors,TOR vs. MIN,W,110,5.0
2024-11-21,Charlotte Hornets,CHA vs. DET,W,123,2.0
2024-11-21,San Antonio Spurs,SAS vs. UTA,W,126,8.0
2024-11-21,Utah Jazz,UTA @ SAS,L,118,-8.0
2024-11-20,Milwaukee Bucks,MIL vs. CHI,W,122,16.0
2024-11-20,Golden State Warriors,GSW vs. ATL,W,120,23.0
2024-11-20,Orlando Magic,ORL @ LAC,L,93,-11.0
2024-11-20,New York Knicks,NYK @ PHX,W,138,16.0
2024-11-20,Atlanta Hawks,ATL @ GSW,L,97,-23.0
2024-11-20,Houston Rockets,HOU vs. IND,W,130,17.0
2024-11-20,New Orleans Pelicans,NOP @ CLE,L,100,-28.0
2024-11-20,Chicago Bulls,CHI @ MIL,L,106,-16.0
2024-11-20,Cleveland Cavaliers,CLE vs. NOP,W,128,28.0
2024-11-20,Phoenix Suns,PHX vs. NYK,L,122,-16.0
2024-11-20,Portland Trail Blazers,POR @ OKC,L,99,-10.0
2024-11-20,Memphis Grizzlies,MEM vs. PHI,W,117,6.0
2024-11-20,Philadelphia 76ers,PHI @ MEM,L,111,-6.0
2024-11-20,LA Clippers,LAC vs. ORL,W,104,11.0
2024-11-20,Oklahoma City Thunder,OKC vs. POR,W,109,10.0
2024-11-20,Indiana Pacers,IND @ HOU,L,113,-17.0
2024-11-19,Boston Celtics,BOS vs. CLE,W,120,3.0
2024-11-19,San Antonio Spurs,SAS vs. OKC,W,110,6.0
2024-11-19,Dallas Mavericks,DAL vs. NOP,W,132,41.0
2024-11-19,Memphis Grizzlies,MEM vs. DEN,L,110,-12.0
2024-11-19,Charlotte Hornets,CHA @ BKN,L,115,-1.0
2024-11-19,Denver Nuggets,DEN @ MEM,W,122,12.0
2024-11-19,Utah Jazz,UTA @ LAL,L,118,-6.0
2024-11-19,Cleveland Cavaliers,CLE @ BOS,L,117,-3.0
2024-11-19,Los Angeles Lakers,LAL vs. UTA,W,124,6.0
2024-11-19,Oklahoma City Thunder,OKC @ SAS,L,104,-6.0
2024-11-19,New Orleans Pelicans,NOP @ DAL,L,91,-41.0
2024-11-19,Brooklyn Nets,BKN vs. CHA,W,116,1.0
2024-11-18,Atlanta Hawks,ATL @ SAC,W,109,1.0
2024-11-18,New York Knicks,NYK vs. WAS,W,134,28.0
2024-11-18,Houston Rockets,HOU @ MIL,L,100,-1.0
2024-11-18,Indiana Pacers,IND @ TOR,L,119,-11.0
2024-11-18,Detroit Pistons,DET vs. CHI,L,112,-10.0
2024-11-18,Chicago Bulls,CHI @ DET,W,122,10.0
2024-11-18,Miami Heat,MIA vs. PHI,W,106,17.0
2024-11-18,Washington Wizards,WAS @ NYK,L,106,-28.0
2024-11-18,Toronto Raptors,TOR vs. IND,W,130,11.0
2024-11-18,LA Clippers,LAC vs. GSW,W,102,3.0
2024-11-18,Phoenix Suns,PHX vs. ORL,L,99,-10.0
2024-11-18,Golden State Warriors,GSW @ LAC,L,99,-3.0
2024-11-18,Orlando Magic,ORL @ PHX,W,109,10.0
2024-11-18,Milwaukee Bucks,MIL vs. HOU,W,101,1.0
2024-11-18,Sacramento Kings,SAC vs. ATL,L,108,-1.0
2024-11-18,Philadelphia 76ers,PHI @ MIA,L,89,-17.0
2024-11-17,Indiana Pacers,IND vs. MIA,W,119,9.0
2024-11-17,Washington Wizards,WAS vs. DET,L,104,-20.0
2024-11-17,LA Clippers,LAC vs. UTA,W,116,11.0
2024-11-17,Portland Trail Blazers,POR vs. ATL,W,114,4.0
2024-11-17,Brooklyn Nets,BKN @ NYK,L,104,-10.0
2024-11-17,Chicago Bulls,CHI vs. HOU,L,107,-36.0
2024-11-17,Utah Jazz,UTA @ LAC,L,105,-11.0
2024-11-17,Dallas Mavericks,DAL @ OKC,W,121,2.0
2024-11-17,Atlanta Hawks,ATL @ POR,L,110,-4.0
2024-11-17,Memphis Grizzlies,MEM vs. DEN,W,105,15.0
2024-11-17,Cleveland Cavaliers,CLE vs. CHA,W,128,14.0
2024-11-17,Denver Nuggets,DEN @ MEM,L,90,-15.0
2024-11-17,Miami Heat,MIA @ IND,L,110,-9.0
2024-11-17,Houston Rockets,HOU @ CHI,W,143,36.0
2024-11-17,New York Knicks,NYK vs. BKN,W,114,10.0
2024-11-17,Oklahoma City Thunder,OKC vs. DAL,L,119,-2.0
2024-11-17,Charlotte Hornets,CHA @ CLE,L,114,-14.0
2024-11-17,Minnesota Timberwolves,MIN vs. PHX,W,120,3.0
2024-11-17,Phoenix Suns,PHX @ MIN,L,117,-3.0
2024-11-17,Detroit Pistons,DET @ WAS,W,124,20.0
2024-11-16,New Orleans Pelicans,NOP vs. LAL,L,99,-5.0
2024-11-16,San Antonio Spurs,SAS @ DAL,L,93,-17.0
2024-11-16,Boston Celtics,BOS vs. TOR,W,126,3.0
2024-11-16,Sacramento Kings,SAC vs. UTA,W,121,4.0
2024-11-16,Toronto Raptors,TOR @ BOS,L,123,-3.0
2024-11-16,Utah Jazz,UTA @ SAC,L,117,-4.0
2024-11-16,Charlotte Hornets,CHA vs. MIL,W,115,1.0
2024-11-16,Milwaukee Bucks,MIL @ CHA,L,114,-1.0
2024-11-16,Dallas Mavericks,DAL vs. SAS,W,110,17.0
2024-11-16,Los Angeles Lakers,LAL @ NOP,W,104,5.0
2024-11-15,Phoenix Suns,PHX @ OKC,L,83,-16.0
2024-11-15,Atlanta Hawks,ATL vs. WAS,W,129,12.0
2024-11-15,Chicago Bulls,CHI @ CLE,L,126,-18.0
2024-11-15,Orlando Magic,ORL vs. PHI,W,98,12.0
2024-11-15,Toronto Raptors,TOR vs. DET,L,95,-4.0
2024-11-15,LA Clippers,LAC @ HOU,L,104,-21.0
2024-11-15,Philadelphia 76ers,PHI @ ORL,L,86,-12.0
2024-11-15,Denver Nuggets,DEN @ NOP,L,94,-7.0
2024-11-15,Houston Rockets,HOU vs. LAC,W,125,21.0
2024-11-15,San Antonio Spurs,SAS vs. LAL,L,115,-5.0
2024-11-15,Minnesota Timberwolves,MIN @ SAC,W,130,4.0
2024-11-15,Memphis Grizzlies,MEM @ GSW,L,118,-5.0
2024-11-15,Indiana Pacers,IND vs. MIA,L,111,-13.0
2024-11-15,Los Angeles Lakers,LAL @ SAS,W,120,5.0
2024-11-15,Cleveland Cavaliers,CLE vs. CHI,W,144,18.0
2024-11-15,New Orleans Pelicans,NOP vs. DEN,W,101,7.0
2024-11-15,Detroit Pistons,DET @ TOR,W,99,4.0
2024-11-15,Brooklyn Nets,BKN @ NYK,L,122,-2.0
2024-11-15,New York Knicks,NYK vs. BKN,W,124,2.0
2024-11-15,Washington Wizards,WAS @ ATL,L,117,-12.0
2024-11-15,Miami Heat,MIA @ IND,W,124,13.0
2024-11-15,Oklahoma City Thunder,OKC vs. PHX,W,99,16.0
2024-11-15,Sacramento Kings,SAC vs. MIN,L,126,-4.0
2024-11-15,Golden State Warriors,GSW vs. MEM,W,123,5.0
2024-11-14,Dallas Mavericks,DAL @ UTA,L,113,-2.0
2024-11-14,Utah Jazz,UTA vs. DAL,W,115,2.0
2024-11-13,LA Clippers,LAC @ HOU,L,103,-8.0
2024-11-13,Orlando Magic,ORL vs. IND,W,94,4.0
2024-11-13,Philadelphia 76ers,PHI vs. CLE,L,106,-8.0
2024-11-13,Cleveland Cavaliers,CLE @ PHI,W,114,8.0
2024-11-13,Houston Rockets,HOU vs. LAC,W,111,8.0
2024-11-13,Detroit Pistons,DET @ MIL,L,120,-7.0
2024-11-13,Indiana Pacers,IND @ ORL,L,90,-4.0
2024-11-13,Memphis Grizzlies,MEM @ LAL,L,123,-5.0
2024-11-13,Milwaukee Bucks,MIL vs. DET,W,127,7.0
2024-11-13,Oklahoma City Thunder,OKC vs. NOP,W,106,18.0
2024-11-13,New Orleans Pelicans,NOP @ OKC,L,88,-18.0
2024-11-13,San Antonio Spurs,SAS vs. WAS,W,139,9.0
2024-11-13,Sacramento Kings,SAC vs. PHX,W,127,23.0
2024-11-13,Brooklyn Nets,BKN vs. BOS,L,114,-25.0
2024-11-13,Boston Celtics,BOS @ BKN,W,139,25.0
2024-11-13,Chicago Bulls,CHI @ NYK,W,124,1.0
2024-11-13,Minnesota Timberwolves,MIN @ POR,L,98,-8.0
2024-11-13,Washington Wizards,WAS @ SAS,L,130,-9.0
